"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Date exited ""Paid (Finance) (Chain Integration)""","hs_v2_date_exited_135954727","datetime","The date and time when the deal exited the 'Paid (Finance)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date exited ""Non-EVM: Firehose Integrated (SE) (Chain Integration)""","hs_v2_date_exited_135954728","datetime","The date and time when the deal exited the 'Non-EVM: Firehose Integrated (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.02%","",""
"Date exited ""Published and curated ([Archived] Subgraph upgrade grants)""","hs_v2_date_exited_136059794","datetime","The date and time when the deal exited the 'Published and curated' stage, '[Archived] Subgraph upgrade grants' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date exited ""Connected to production ([Archived] Subgraph upgrade grants)""","hs_v2_date_exited_136059795","datetime","The date and time when the deal exited the 'Connected to production' stage, '[Archived] Subgraph upgrade grants' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""RPC Provided (SE) (Chain Integration)""","hs_v2_date_exited_136845875","datetime","The date and time when the deal exited the 'RPC Provided (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date exited ""Using different solution ([Archived] Subgraph upgrade grants)""","hs_v2_date_exited_137968473","datetime","The date and time when the deal exited the 'Using different solution' stage, '[Archived] Subgraph upgrade grants' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Appointment scheduled ([Archived] Premium Service)""","hs_v2_date_exited_145861458","datetime","The date and time when the deal exited the 'Appointment scheduled' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date exited ""Qualified to buy ([Archived] Premium Service)""","hs_v2_date_exited_145861459","datetime","The date and time when the deal exited the 'Qualified to buy' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Presentation scheduled ([Archived] Premium Service)""","hs_v2_date_exited_145861460","datetime","The date and time when the deal exited the 'Presentation scheduled' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Verbal commitment given ([Archived] Premium Service)""","hs_v2_date_exited_145861461","datetime","The date and time when the deal exited the 'Verbal commitment given' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Contract sent ([Archived] Premium Service)""","hs_v2_date_exited_145861462","datetime","The date and time when the deal exited the 'Contract sent' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Closed won ([Archived] Premium Service)""","hs_v2_date_exited_145861463","datetime","The date and time when the deal exited the 'Closed won' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Closed lost ([Archived] Premium Service)""","hs_v2_date_exited_145861464","datetime","The date and time when the deal exited the 'Closed lost' stage, '[Archived] Premium Service' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Outreach Pending ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175821091","datetime","The date and time when the deal exited the 'Outreach Pending' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.52%","",""
"Date exited ""Initial Comms Sent ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175882633","datetime","The date and time when the deal exited the 'Initial Comms Sent' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.11%","",""
"Date exited ""First Subgraph Upgraded ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175882635","datetime","The date and time when the deal exited the 'First Subgraph Upgraded' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.12%","",""
"Date exited ""Majority Subgraphs Upgraded ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175882636","datetime","The date and time when the deal exited the 'Majority Subgraphs Upgraded' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.42%","",""
"Date exited ""Majority Traffic Upgraded ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175882637","datetime","The date and time when the deal exited the 'Majority Traffic Upgraded' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.19%","",""
"Date exited ""Closed Upgrade Complete ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175882638","datetime","The date and time when the deal exited the 'Closed Upgrade Complete' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.02%","",""
"Date exited ""Closed Account Lost ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_175897379","datetime","The date and time when the deal exited the 'Closed Account Lost' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.02%","",""
"Date exited ""Not Prioritizing ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_176125761","datetime","The date and time when the deal exited the 'Not Prioritizing' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.28%","",""
"Date exited ""No Known Contact ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_176228872","datetime","The date and time when the deal exited the 'No Known Contact' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date exited ""Verbal Commitment Received ([Archived] Sunbeam Upgrades)""","hs_v2_date_exited_177113452","datetime","The date and time when the deal exited the 'Verbal Commitment Received' stage, '[Archived] Sunbeam Upgrades' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.05%","",""
"Date exited ""Integrating (SE) (Chain Integration)""","hs_v2_date_exited_213652827","datetime","The date and time when the deal exited the 'Integrating (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date exited ""PRs pending merge/release (SE) (Chain Integration)""","hs_v2_date_exited_214299818","datetime","The date and time when the deal exited the 'PRs pending merge/release (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.05%","",""
"Date exited ""Testing (SE) (Chain Integration)""","hs_v2_date_exited_214299819","datetime","The date and time when the deal exited the 'Testing (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.05%","",""
"Date exited ""Studio Integration Done (SE) (Chain Integration)""","hs_v2_date_exited_214299820","datetime","The date and time when the deal exited the 'Studio Integration Done (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.07%","",""
"Date exited ""Comarketing (Marketing) (Chain Integration)""","hs_v2_date_exited_214299821","datetime","The date and time when the deal exited the 'Comarketing (Marketing)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.06%","",""
"Date exited ""Chain Docs In Progress (SE) (Chain Integration)""","hs_v2_date_exited_214299822","datetime","The date and time when the deal exited the 'Chain Docs In Progress (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Date exited ""Indexing Rewards Inquiry (Foundation) (Chain Integration)""","hs_v2_date_exited_214299823","datetime","The date and time when the deal exited the 'Indexing Rewards Inquiry (Foundation)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Date exited ""Indexing Rewards Enabled (SE) (Chain Integration)""","hs_v2_date_exited_214299824","datetime","The date and time when the deal exited the 'Indexing Rewards Enabled (SE)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Date exited ""Completed (BD) (Chain Integration)""","hs_v2_date_exited_214299825","datetime","The date and time when the deal exited the 'Completed (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.03%","",""
"Date exited ""Deprecated (BD) (Chain Integration)""","hs_v2_date_exited_214299826","datetime","The date and time when the deal exited the 'Deprecated (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Rejected by us (BD) (Chain Integration)""","hs_v2_date_exited_214299827","datetime","The date and time when the deal exited the 'Rejected by us (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Rejected by Chain (BD) (Chain Integration)""","hs_v2_date_exited_214299828","datetime","The date and time when the deal exited the 'Rejected by Chain (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
"Date exited ""Contract Sent (Legal) (Chain Integration)""","hs_v2_date_exited_215288220","datetime","The date and time when the deal exited the 'Contract Sent (Legal)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.07%","",""
