"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","UTM parameter for the site (e.g. Twitter) responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"First Conversion Date","first_conversion_date","datetime","Date  this  contact  first  submitted  a  form.","contact_activity","false","","true","true","true","false","false","true","HubSpot","","0.03%","",""
"First Conversion","first_conversion_event_name","string","First form this contact submitted.","contact_activity","false","","true","true","true","false","false","true","HubSpot","","0.03%","",""
"HoW3 application date","how3_application_date","date","","contact_activity","true","","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1)","0.52%","",""
"HoW3 plan","how3_plans","enumeration","","contact_activity","true","Monthly (Andcards); Annual (Andcards); Annual (NFT Buy); Other","false","false","false","false","false","false","E&N Developer Account Operations","Sales view (1)","0.02%","",""
"Membership Notes","hs_content_membership_notes","string","Notes relating to the contact's content membership.","contact_activity","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Status","hs_content_membership_status","enumeration","Status of the contact's content membership.","contact_activity","false","Active (active) [READ-ONLY]; Inactive (inactive) [READ-ONLY]","false","true","false","false","false","true","HubSpot","","0%","",""
"Last Engagement Date","hs_last_sales_activity_timestamp","datetime","The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0.43%","",""
"Recent Sales Email Clicked Date","hs_sales_email_last_clicked","datetime","The last time a tracked sales email was clicked by this user","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0.04%","",""
"Recent Sales Email Opened Date","hs_sales_email_last_opened","datetime","The last time a tracked sales email was opened by this contact. This property does not update for emails that were sent to more than one contact.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0.42%","",""
"Recent Sales Email Replied Date","hs_sales_email_last_replied","datetime","The last time a tracked sales email to this contact was replied to. This is set automatically by HubSpot.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0.19%","",""
"Currently in Sequence","hs_sequences_is_enrolled","bool","A yes/no field that indicates whether the contact is currently in a Sequence.","contact_activity","false","True (true); False (false)","true","true","true","false","false","true","HubSpot","","0.63%","",""
"Message","message","string","A default property to be used for any message or comments a contact may want to leave on a form.","contact_activity","true","","false","true","false","false","false","true","HubSpot","","0%","",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Properties v3 card (1)","1.02%","",""
"Last Activity Date","notes_last_updated","datetime","The last time a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","Sales view (4)","1.86%","",""
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0.01%","",""
